"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
1,6.95358438226469
2,26.1136555058992
3,-60.3607287297942
4,25.7479447436886
5,-82.1467545322648
6,-139.169664035968
7,70.3919454313908
8,-152.432133571694
9,-186.78962343069
10,-36.7299238541327
11,-324.515502348384
12,-151.43939079448
13,-193.096911576676
14,-231.593665806596
15,-152.016461366678
16,-112.252171503323
17,-146.996381381459
18,-70.9223924647936
19,-58.174628435432
20,-20.7713634604936
21,1.05645790846699
22,20.4412253799252
23,52.7799781807967
24,46.0941197012814
25,54.0409434993113
26,85.015313103189
27,51.7270156351498
28,49.9234903038006
29,84.7112071718777
30,-35.0210318746753
31,2.46690897342725
32,-22.066951536841
33,-35.9860447718807
34,-27.2947808223454
35,-31.7227260958294
36,-53.3637721614168
37,-28.0430372889286
38,-23.7774205718006
39,-8.15971768926549
40,2.27942891432289
41,11.0024304242964
42,24.4374689859923
43,30.1009286686068
44,35.0339574009952
45,57.6736404231972
46,51.8181369456054
47,60.7155961676267
48,78.0002520549493
49,28.3934626741414
50,50.773385316912
51,27.4324622315901
52,20.1568507048167
53,27.0719392732187
54,18.8116911880407
55,17.7210214387436
56,16.325280832048
57,19.3510719554842
58,12.5849095234676
59,18.7769083044862
60,16.3974131458604
61,23.3833482762477
62,34.9290041200848
63,33.0933226911188
64,53.7100466475162
65,52.4770123930168
66,46.7724931571853
67,66.7926922645655
68,31.5422929038474
69,51.8025527051765
70,40.4241267899619
71,41.3202696679263
72.0000000000001,56.9255465545695
73.0000000000001,42.2701156556933
74.0000000000001,46.1741310041337
75.0000000000001,34.3552814466721
76.0000000000001,34.038840573236
77.0000000000001,24.4478540716737
78.0000000000001,28.975163021236
79.0000000000001,35.9679890169843
80.0000000000001,33.6931221905608
81.0000000000001,53.1164397310341
82.0000000000001,37.8162216501465
83.0000000000001,47.6797857953249
84.0000000000001,47.446921395776
85.0000000000001,35.2190607337688
86.0000000000001,57.1157200600404
87.0000000000001,34.6447456625621
88.0000000000001,54.7775547228924
89.0000000000001,58.6580144069015
90.0000000000001,46.0071994390333
91.0000000000001,63.2042675131195
92.0000000000001,46.6519740988857
93.0000000000001,47.5379661582096
94.0000000000001,38.5446582946796
95.0000000000001,38.3763257158351
96.0000000000001,42.3164995339715
97.0000000000001,39.0528895188286
98.0000000000001,58.9066704799447
99.0000000000001,39.6081712642299
100,56.1202321721172
101,33.6195806179922
102,38.9048498400823
103,43.3447647460958
104,33.2034175616563
105,58.6630536709589
106,51.896557077289
107,49.5695767348318
108,66.7695494797789
109,40.3518330217394
110,55.6230111262724
111,41.8408482863525
112,44.910066205694
113,47.7993392100531
114,42.60688616819
115,60.2673968505631
116,44.1968579556272
117,60.7749719646976
118,35.2331568439721
119,48.815044242752
120,32.9051723471238
121,34.311945409505
122,53.2055334640533
123,42.8848912490581
124,55.6349977843311
125,64.7185359823843
126,40.5566867045277
127,60.6921361457928
128,32.7388690606815
129,49.8844351496351
130,44.3841762339181
131,45.0223658750941
132,63.6541409442747
133,49.0720294738151
134,60.1493473231396
135,41.5540096079695
136,53.0214683002033
137,33.5210313510442
138,42.8407545102504
139,49.4096218833953
140,39.93879060998
141,60.7583566118464
142,51.0078070953464
143,48.3581313722593
144,61.9748545289055
145,31.8696569824785
146,55.0761283726062
147,35.2382468091732
148,49.3460895100695
149,60.1505370685733
150,49.0154379166658
151,63.2422070941766
152,48.8175240235067
153,52.3513184759365
154,37.8532407317491
155,44.602232424364
156,45.9345578164026
157,44.2227809917444
158,65.6141044282151
159,42.9836840624922
160,56.9003020721665
161,45.9802205856024
162,38.3041556756728
163,55.3127535312259
164,32.1331352142216
165,55.814679873914
166,52.7809443218387
167,46.7402724550407
168,65.0284626400163
169,46.5347313714861
170,54.3919114745806
171,44.3212301697478
172,44.3422360441989
173,44.2553383499137
174,42.9923713149066
175,62.2401660854278
176,45.2504281516404
177,65.4460591250573
178,36.4148325558008
179,46.1846529885968
180,40.4823557345641
181,33.5886505211858
182,57.0886034089418
183,46.2400751156711
184,52.3411003455375
185,65.961791815183
186,40.5803407929539
187,58.1827919728455
188,39.7456027771325
189,47.1238126238669
190,46.3052923212308
191,43.0041388424715
192,59.8114444386109
193,46.4888033390442
194,63.5850282242029
195,40.0706360435708
196,56.3867834793312
197,32.8126257028156
198,38.5234176561073
199,49.7920955509012
200,40.0425646817729
201,59.1439776968819
202,60.9048544730317
203,45.0916994776898
204,64.4248446796393
205,32.3403763515989
206,51.8270992451667
207,39.3019041666879
208,46.0017962126975
209,61.4315479316784
210,49.2088592403295
211,62.1740695692622
212,45.2389685721316
213,55.6300400648947
214,35.1278655297508
215,46.3370524121001
216,44.1306775378905
217,40.4403639707317
218,62.194277517584
219,47.5047590609668
220,53.3447589994886
221,59.8641488522833
222,35.0818193656914
223,57.6546065926833
224,31.4493893179627
225,50.7234262358757
226,53.548530009703
227,47.0627925225223
228,65.2316713198046
229,50.3451246766853
230,54.2174165005903
231,39.9486269594416
232,45.4882599103223
233,40.9228079677237
234,43.334867162814
235,62.8983084943495
236,43.6166328251557
237,61.1706052665437
238,42.8110344795553
239,42.4711379654514
240,51.6746477973935
241,30.9342538476872
242,56.6691588995592
243,45.7418827908731
244,48.0134870968156
245,64.6273085890078
246,45.116416825095
247,56.8875735002375
248,45.6638281330174
249,45.5614147169159
250,41.2991528637338
251,41.878506277496
252,57.9674571081378
253,45.6054472957308
254,66.9487854010991
255,38.7507009467105
