"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,-75.1627942304511,-472.853805672559,457.457140171251
1,65.7795364189613,-406.523385679649,339.001197610515
2,206.721867068374,-340.192965686738,220.54525504978
3,274.866929828562,-381.340859404303,31.3125058549834
4,287.874599531915,-313.578775144256,-58.9827954143521
5,422.09033065533,-121.11519553987,-134.522264882193
6,372.462515153285,-79.1813424845784,-302.388137659165
7,229.882304253753,9.64163332661516,-418.49103553057
8,235.88298401131,241.419393960558,-392.729850665975
9,143.008720764503,330.390270239098,-373.866963116056
10,-77.7283152941766,344.385890842961,-403.835846156773
11,-173.864453030636,452.247517141899,-335.01808779222
12,-222.809439661627,516.20663261261,-134.339313865306
13,-406.598888279482,432.324165909135,-57.0147197877155
14,-506.723629042802,365.632168363573,22.7997250889682
15,-462.921239856406,296.58225648702,240.761982720665
16,-474.950181740944,193.073341853427,377.018277083369
17,-454.328882260371,-5.76701741384023,406.549962958004
18,-347.366771115694,-167.243090460237,484.857577375249
19,-227.769346705319,-269.638454058521,518.025323220067
20,-72.6823751741337,-395.115043792967,464.949341827125
21,82.2577676771781,-478.764884099929,391.709803121065
22,232.603668809056,-504.349882179352,267.499004509002
23,354.272310540856,-473.753573215996,129.215270578659
24,448.11472197859,-381.076635552009,-29.7846222551701
25,473.954329816456,-323.874857841563,-203.573335495185
26,439.218964878482,-177.278466256974,-334.034365366273
27,454.211435671292,32.8882960791417,-412.93498981767
28,342.149506682739,170.333782620901,-456.661653572331
29,164.520407764761,266.948812402153,-504.350233719728
30,45.6594107330768,415.721748581541,-455.097163056684
31,-69.0706071807434,492.660761564344,-341.091534765769
32,-273.077639254707,490.907214052247,-265.157468253085
33,-414.289319620398,466.257114802322,-151.602406630572
34,-446.26310524207,430.78855250791,65.1794665666494
35,-497.541993277367,334.328958179058,229.069317243049
36,-509.413927527472,168.764993097127,321.869707468902
37,-458.917293323666,11.0867730448745,435.565150792505
38,-361.498343612881,-131.527202565341,510.010987795689
39,-235.531371411699,-287.731284514333,509.589618509273
40,-87.0742734308794,-415.842703809503,474.026478124464
41,82.8192557552312,-481.645828087074,397.877419115704
42,243.126943604151,-504.338767859447,292.033505084979
43,370.211659207762,-475.370893258264,137.840602503032
44,454.082548065005,-440.886558808912,-35.7434687554745
45,480.12287800112,-326.410968165664,-192.293279350725
46,507.377468332865,-163.763795689867,-326.108291858645
47,444.346353650935,-32.75664412506,-431.32565660016
48,332.905512864286,131.829297962385,-491.49844922614
49,244.259902385707,300.85332483333,-497.385339277393
50,99.3956974098997,422.446512187961,-439.202093869899
51,-104.850056951478,468.826840702211,-408.971753334798
52,-268.041545997301,491.385431764353,-295.872610342761
53,-363.069062368676,490.587904625727,-118.774347932107
54,-461.045571579521,436.445792643103,43.2313279966399
55,-510.274981469843,311.273674986899,181.26470736917
56,-501.478166869771,189.052924411718,335.551858831924
57,-441.980176057891,41.3016319984096,452.43768744509
58,-367.465662139865,-139.126166131138,495.504951836335
59,-253.265244463905,-300.070120479169,499.317990778475
60,-86.761460204037,-409.210437110393,469.509478761343
61,88.0091891842352,-476.046629093624,413.789866038292
62,239.403518585076,-498.51227663421,286.460955934
63,369.288176536254,-498.64219260039,130.007609731608
64,457.518021319304,-423.815383488435,-17.3553643967086
65,503.736024276917,-310.129021687145,-185.952393854913
66,494.478641546524,-204.910178894777,-335.035703502876
67,425.181424572939,-40.0271914344978,-441.145544766516
68,381.479971690413,145.340831532352,-487.452941284746
69,251.096590301732,297.908292010991,-482.544722048632
70,72.2225186857943,400.652549651507,-479.727165384891
71,-88.9925576358652,475.708620901863,-404.529117149275
72.0000000000001,-231.811046384807,504.323224575085,-268.305000111877
73.0000000000001,-374.838467609437,492.355554007315,-139.357679173624
74.0000000000001,-472.294726547516,405.545652976356,9.53680868921136
75.0000000000001,-499.858191495429,332.116668414379,193.596683848749
76.0000000000001,-485.092228533262,207.233414936915,345.922631133351
77.0000000000001,-451.11718573544,30.9267933492001,437.451432218779
78.0000000000001,-379.930557935801,-144.264151453136,488.139281680142
79.0000000000001,-238.49753031882,-287.596625685983,499.403103897281
80.0000000000001,-79.6554694647294,-403.832809652028,483.726719537338
81.0000000000001,71.0368721912862,-481.316322552664,391.414084128492
82.0000000000001,237.11625448938,-509.090133871644,275.425642177258
83.0000000000001,375.255278156611,-482.81252897692,155.177712390379
84.0000000000001,465.100436884061,-406.301544890998,-16.4041418686696
85.0000000000001,497.073866611232,-347.68678477296,-194.465215581052
86.0000000000001,477.847072167663,-200.182671160222,-335.87951947081
87.0000000000001,465.241292516302,-22.2488911193468,-432.368768908274
88.0000000000001,369.500360399593,136.137992477755,-483.461695096369
89.0000000000001,225.706264214109,281.739666615919,-505.753858474305
90.0000000000001,90.2224067550141,407.531721493223,-475.962465371767
91.0000000000001,-66.7855052257067,483.433864284072,-374.45408430993
92.0000000000001,-243.57411209959,504.050027542189,-292.669618388633
93.0000000000001,-382.650122067585,467.845855970857,-157.335009062234
94.0000000000001,-458.318493102636,429.925282310209,26.1665414665466
95.0000000000001,-491.485738019434,341.921898401167,198.397739573099
96.0000000000001,-495.43010519448,187.439577533875,329.918249681508
97.0000000000001,-462.758351832857,26.7223450371239,432.971330616996
98.0000000000001,-353.159192842113,-126.535359520991,494.104601619135
99.0000000000001,-235.025183705612,-285.75632212067,508.384234070289
100,-102.282731977844,-412.384441176291,462.243429674017
101,73.8970071048328,-483.255723336784,383.421403062589
102,246.311033103008,-499.036415443551,306.505350230875
103,375.243293074898,-468.86466867356,147.430083235756
104,456.740056899749,-444.801258010248,-32.2685748067986
105,489.846079748722,-330.101956172429,-186.760500617095
106,505.715126502682,-178.522603371563,-328.053093307004
107,452.374591636076,-39.8216403329719,-436.103699421236
108,342.402429579595,124.463049571867,-494.742656764145
109,250.962088775808,291.227016211937,-504.13127068891
110,103.366185311731,414.832899231093,-448.823202514783
111,-82.8826433150733,476.034850241063,-405.270785701211
112,-248.2761193239,491.023868162958,-300.608651541316
113,-368.42740335927,487.691744289184,-135.628447534999
114,-457.314989069179,437.160525529323,27.4703931932567
115,-500.199823543041,313.031226844707,180.760581240426
116,-503.215187288006,190.220259460804,331.058653390691
117,-435.540588938571,47.673865172196,443.486553018816
118,-357.933032936779,-131.116894212102,494.38205452615
119,-259.451894870326,-295.412095128818,494.380329832622
120,-93.0529659974761,-410.548520251944,457.460889729621
121,87.4342268740089,-474.772276243471,416.259716727548
122,237.900958588405,-492.460520947759,286.789514902635
123,369.349426412339,-498.748619066055,128.239082716984
124,459.693115174569,-424.063669534297,-13.1989666537089
125,504.316366211687,-306.603685099816,-180.612018980783
126,497.175317194307,-206.636704556242,-335.378375957119
127,427.182302154389,-46.016969336957,-443.287486877317
128,377.330391668228,138.779326252816,-489.650042195665
129,254.557371104469,294.035418875112,-487.088596260972
130,81.3929516163645,403.114785291296,-476.038235309751
131,-83.2260141395573,474.59095415859,-407.425899375634
132,-231.275821648196,503.314853039691,-271.55299574838
133,-371.296410248548,493.762570174306,-141.124689922824
134,-466.932414637052,406.696482715936,8.62802035184163
135,-501.165438044165,326.930869220617,186.395468068132
136,-483.655676711212,208.30349326509,339.935364875159
137,-444.350939315896,36.8344501938334,438.402221645909
138,-381.623958937755,-142.003459787547,485.529050824363
139,-239.453658091345,-285.696041409345,493.821849075051
140,-76.9537357230845,-403.957390738464,484.429563302068
141,68.9962429627717,-477.058820746215,391.671758650738
142,233.955583801226,-509.706419596519,268.293089582959
143,374.295351001963,-483.798597552039,157.247702087081
144,466.461571893332,-402.453056100883,-12.6391674546973
145,497.813481287893,-345.560469343318,-193.222695047241
146,478.940410089098,-203.025658138054,-336.150233546996
147,461.67472400106,-24.9837787059697,-432.714717483471
148,372.341121164878,137.047982771431,-484.945217900234
149,227.127359134186,279.479378606253,-504.305296051851
150,89.0151084374091,406.224058878237,-478.571088912473
151,-65.6080771630538,483.113971974442,-376.288107987252
152,-239.232500225176,505.294495292112,-289.588697001446
153,-379.310645081297,469.590709483562,-157.372969302936
154,-460.375704196001,425.675840001281,22.0486718012056
155,-490.769063785326,342.995278815037,195.907445332542
156,-492.071210514784,189.094073748233,329.371350138707
157,-463.812571759019,25.8548377407475,432.507708877117
158,-355.596883602424,-126.331937857922,489.626917620072
159,-228.736522244443,-283.5412664226,509.972089231777
160,-103.429064009432,-409.464947706079,463.980618801926
161,71.5295713039554,-483.946244655231,376.877193193271
162,245.132281030895,-499.890173274833,306.926072191492
163,375.472435182253,-466.24617508556,149.538607467639
164,456.807584919497,-443.424083052602,-31.9695922927345
165,489.952014195437,-332.498731695792,-188.59706339694
166,503.486106757707,-178.698596405573,-325.919900949812
167,455.47540352387,-36.8198427195203,-435.879251096747
168,343.127996696145,122.744071419881,-494.368206114621
169,247.258505260444,289.291446746092,-505.550260790236
170,104.172671506096,414.125683318645,-450.46416267057
171,-80.3623485436475,477.369984706306,-402.121194240015
172,-247.544593780133,491.539001541659,-301.454608041463
173,-369.050003847024,485.413293138745,-137.483941549784
174,-456.051212217302,438.420464116464,28.0612574591441
175,-498.124072015595,315.952697332556,181.493493460767
176,-504.596324207079,186.18458394114,329.417171670325
177,-438.57828692108,47.683367512459,440.716385526368
178,-351.627016193793,-129.483784605757,495.445656351673
179,-260.697585305231,-293.985128776257,496.24209011289
180,-94.68669570184,-410.97394009722,452.129649651812
181,87.7419238762647,-474.991258919531,417.592740569942
182,239.041946964716,-490.437582678742,289.233643705638
183,368.318174475117,-498.006257184007,127.798285765512
184,459.380073978002,-426.972150879991,-16.1060387524734
185,502.885897055738,-306.613318775319,-179.051798123295
186,499.171937485392,-202.461983747262,-334.865816787023
187,427.822049749182,-47.8770538578053,-443.509433376882
188,373.574891130106,137.415706493201,-490.089299878552
189,256.397982581895,295.096618707657,-487.787193381936
190,83.4376256911451,403.678152226072,-473.721083874182
191,-84.2069616553549,473.97902519447,-408.990609806001
192,-232.541476429211,502.31173571795,-273.592627976357
193,-370.146197774599,494.507551139491,-138.769301540351
194,-465.811634463552,409.415871949957,9.20580693011464
195,-502.079785370852,322.440366521803,184.911299814897
196,-486.093118840552,208.851668685049,338.887380996375
197,-438.748882485392,38.7583502502831,439.632996745657
198,-383.655546375402,-142.114344120361,486.512978020953
199,-242.258591948433,-286.672207835003,489.957367296994
200,-74.9858248325921,-403.810010337154,485.441890219975
201,70.2576438156446,-475.664079206834,394.701644901332
202,232.959690403747,-509.174095465668,266.744931862686
203,373.873327932291,-486.236448705653,154.687527833488
