"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
1,3.82912646849261,-19.92893218506,16.4646706864423
2,10.8614041294837,-57.0702062952879,28.2695162581095
3,30.6963428903731,-74.4716931024107,45.1687050542868
4,64.5239511287076,-88.2542816051418,42.5755971183498
5,74.3481808775347,-116.015427163579,21.884268978732
6,92.5939421785942,-116.504942829778,10.000173060662
7,126.15655045603,-101.059556112822,1.25148671477457
8,131.04338996254,-102.227840844162,-25.4557226139367
9,125.916082157082,-89.6303379598317,-54.4387401599425
10,134.552728666219,-56.3271519896351,-64.0184142990127
11,126.383330380617,-34.6811588777984,-68.4848899513378
12,96.6189650814304,-23.4461677915605,-87.9117922130121
13,82.8213282056731,-0.580150036581884,-87.4746414160267
14,72.0608774399471,17.3475853612779,-68.8257584830398
15,43.4078493474188,22.583460955781,-65.116499519401
16,23.0167100742512,17.9549602761978,-60.1923007057868
17,13.2737102515848,21.4521544919468,-38.8827244946888
18,3.78055664189671,23.0467738959801,-23.921631668573
19,-0.370258532483645,13.600880238627,-15.2241163926591
20,-2.67989754451629,6.15873404768552,-4.47643402011697
21,-1.76370374771159,0.120767207342465,1.84973215398284
22,0.970665288227735,-6.66926484085283,6.75319680721869
23,6.16277264416317,-14.8245859549903,7.46697941038695
24,11.3579796510582,-26.4308623102209,6.31766096505465
25,20.9801032000005,-24.1316972793577,7.35150444970559
26,35.9461858222485,-22.499888250469,5.00630383398287
27,33.8949753205289,-30.7645510983145,-3.90467624805993
28,35.0257720672335,-31.1396587208647,-16.1927385223612
29,44.6407118605041,-19.5084495937355,-19.7127410555459
30,43.7344637405694,-15.1966590400254,-25.5202997528791
31,31.8280582113303,-10.2565156127068,-36.4319002970776
32,31.5416227910407,1.37971123896824,-34.8938078135428
33,32.3985669264009,12.1648546687944,-25.279682151233
34,19.0862640586873,13.8959050503369,-27.9706419797306
35,8.30038316187451,11.9204949373825,-30.0024413742263
36,2.1621427323574,14.5188519684924,-20.5700240294125
37,-2.43997799807496,15.1760598375245,-13.2775332190033
38,-5.82462999682151,10.5507309154832,-8.71532156698931
39,-6.42497451838281,7.39776110243065,-1.29961818713539
40,-4.50769650629459,5.53881879347239,4.7564609445172
41,-3.3426907682225,0.228303837613354,7.94060719805446
42,-2.4951163770209,-6.5856104025204,6.48631540207929
43,0.0544123229309865,-14.4190757461588,5.44767755896361
44,5.22450356388773,-13.5840251279311,5.95074167329517
45,14.7845197931884,-13.328946498497,4.69638803578533
46,16.7218940293106,-16.6921047688418,1.22388218541915
47,20.5895772590036,-12.3766001704649,-3.0784143300747
48,26.3228174313555,-8.37565887962725,-8.23819670657958
49,20.9868861818496,-8.40607746330336,-14.8109089659807
50,13.5709711029543,-7.72768554867077,-24.9290192779175
51,15.2019445458652,0.705531647211979,-21.7468240282479
52,17.1937014771231,10.0443480365771,-16.7213424422976
53,10.2024490940849,13.9984897119035,-17.6231148787322
54,4.43429643190824,14.1775218252116,-17.2534358442321
55,-0.748725541808603,16.9728270606264,-11.4244269118869
56,-6.73465751288215,14.3107168885946,-8.58055336405205
57,-13.0996442028383,8.68345538967864,-7.22394954674802
58,-13.0982245045133,6.95055581656745,-0.837968070941024
59,-8.52761349337904,7.10264657983654,7.14936750564326
60,-6.25436740466498,3.91423792492938,12.4576318501387
61,-5.82588493927071,-2.24296194293285,10.7664753978773
62,-3.70098111151319,-9.78143654051315,9.91249705492998
63,-0.71639046230572,-12.10192345811,9.82711986502144
64,3.88890726717531,-15.3055844498158,5.60236728425104
65,8.77267105426043,-18.1144354989297,3.0902304440247
66,14.6157602924574,-11.903408043079,1.80883326687292
67,22.9182340056627,-7.02551286997033,-0.554689836969511
68,18.0145057367029,-6.92612497350189,-7.06736134783102
69,12.9125107447552,-6.63048330798391,-16.9819924339035
70,12.8044033941942,-1.74492295059348,-18.180046941865
71,11.2688921047376,4.04821914580836,-17.2808175080443
72.0000000000001,6.46330426962598,10.0081813311388,-18.9224486734822
73.0000000000001,4.08710409060744,13.599473600341,-15.0734181528382
74.0000000000001,1.90001424648234,20.3281549055865,-8.16007493689442
75.0000000000001,-4.95602341721952,17.5266290582367,-6.7357704187068
76.0000000000001,-13.5294050583714,10.9470003725033,-7.00307752527558
77.0000000000001,-16.6193734095417,8.16619370484873,-2.82494659155879
78.0000000000001,-13.3026245080029,7.61273415872995,4.22145371111541
79.0000000000001,-11.7830097019063,5.0204762691431,11.1768345335062
80.0000000000001,-10.3450423891276,1.12349527930897,12.701101819194
81.0000000000001,-5.54305338075535,-3.37098114585762,15.6460375200342
82.0000000000001,-2.99594929172817,-8.46862790986591,16.1244783639477
83.0000000000001,-1.40203113076173,-14.3665714908453,9.52399142051448
84.0000000000001,1.75314321650063,-20.7832283924368,5.16083860018154
85.0000000000001,8.45988847264927,-14.6305166567341,4.51956261341506
86.0000000000001,17.8478822098292,-10.1076368547815,3.12833601678051
87.0000000000001,17.1150218474734,-9.31199840093492,-1.33729818132251
88.0000000000001,15.8827291718929,-6.82746651101255,-8.52876093260575
89.0000000000001,16.5240974168821,-3.16631970112064,-13.2910854823149
90.0000000000001,11.9233681502633,-0.415448480005122,-16.0171909513178
91.0000000000001,5.91488876944729,3.49374671478606,-21.8484076266107
92.0000000000001,4.64535610379397,9.6220501677411,-17.4731855880016
93.0000000000001,4.26910697835123,18.4224201650151,-10.1506767929997
94.0000000000001,-0.88071644947004,19.079920500965,-7.70589538711626
