"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
1,6.95358438226469
2,26.1136555058992
3,-60.3607287297942
4,25.7479447436886
5,-82.1467545322648
6,-139.169664035968
7,70.3919454313908
8,-152.432133571694
9,-186.78962343069
10,-36.7299238541327
11,-324.515502348384
12,-151.43939079448
13,-193.096911576676
14,-231.593665806596
15,-152.016461366678
16,-112.252171503323
17,-146.996381381459
18,-70.9223924647936
19,-58.174628435432
20,-20.7713634604936
21,1.05645790846699
22,20.4412253799252
23,52.7799781807967
24,46.0941197012814
25,54.0409434993113
26,85.015313103189
27,51.7270156351498
28,49.9234903038006
29,84.7112071718777
30,-35.0210318746753
31,2.46690897342725
32,-22.066951536841
33,-35.9860447718807
34,-27.2947808223454
35,-31.7227260958294
36,-53.3637721614168
37,-28.0430372889286
38,-23.7774205718006
39,-8.15971768926549
40,2.27942891432289
41,11.0024304242964
42,24.4374689859923
43,30.1009286686068
44,35.0339574009952
45,57.6736404231972
46,51.8181369456054
47,60.7155961676267
48,78.0002520549493
49,28.3934626741414
50,50.773385316912
51,27.4324622315901
52,20.1568507048167
53,27.0719392732187
54,18.8116911880407
55,17.7210214387436
56,16.325280832048
57,19.3510719554842
58,12.5849095234676
59,18.7769083044862
60,16.3974131458604
61,23.3833482762477
62,34.9290041200848
63,33.0933226911188
64,53.7100466475162
65,52.4770123930168
66,46.7724931571853
67,66.7926922645655
68,31.5422929038474
69,51.8025527051765
70,40.4241267899619
71,41.3202696679263
72.0000000000001,56.9255465545695
73.0000000000001,42.2701156556933
74.0000000000001,46.1741310041337
75.0000000000001,34.3552814466721
76.0000000000001,34.038840573236
77.0000000000001,24.4478540716737
78.0000000000001,28.975163021236
79.0000000000001,35.9679890169843
80.0000000000001,33.6931221905608
81.0000000000001,53.1164397310341
82.0000000000001,37.8162216501465
83.0000000000001,47.6797857953249
84.0000000000001,47.446921395776
85.0000000000001,35.2190607337688
86.0000000000001,57.1157200600404
87.0000000000001,34.6447456625621
88.0000000000001,54.7775547228924
89.0000000000001,58.6580144069015
90.0000000000001,46.0071994390333
91.0000000000001,63.2042675131195
92.0000000000001,46.6519740988857
93.0000000000001,47.5379661582096
94.0000000000001,38.5446582946796
95.0000000000001,38.3763257158351
96.0000000000001,42.3164995339715
97.0000000000001,39.0528895188286
98.0000000000001,58.9066704799447
99.0000000000001,39.6081712642299
100,56.1202321721172
101,33.6195806179922
102,38.9048498400823
103,43.3447647460958
104,33.2034175616563
105,58.6630536709589
106,51.896557077289
107,49.5695767348318
108,66.7695494797789
109,40.3518330217394
110,55.6230111262724
111,41.8408482863525
112,44.910066205694
113,47.7993392100531
114,42.60688616819
115,60.2673968505631
116,44.1968579556272
117,60.7749719646976
118,35.2331568439721
119,48.815044242752
120,32.9051723471238
121,34.311945409505
122,53.2055334640533
123,42.8848912490581
124,55.6349977843311
125,64.7185359823843
126,40.5566867045277
127,60.6921361457928
128,32.7388690606815
129,49.8844351496351
130,44.3841762339181
131,45.0223658750941
132,63.6541409442747
133,49.0720294738151
134,60.1493473231396
135,41.5540096079695
136,53.0214683002033
137,33.5210313510442
138,42.8407545102504
139,49.4096218833953
140,39.93879060998
141,60.7583566118464
142,51.0078070953464
143,48.3581313722593
144,61.9748545289055
145,31.8696569824785
146,55.0761283726062
147,35.2382468091732
148,49.3460895100695
149,60.1505370685733
150,49.0154379166658
151,63.2422070941766
152,48.8175240235067
153,52.3513184759365
154,37.8532407317491
155,44.602232424364
156,45.9345578164026
157,44.2227809917444
