"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
1,3.82912646849194,-19.9289321850563,16.4646706864423
2,10.8614041294819,-57.070206295285,28.2695162580945
3,30.6963428903623,-74.4716931024399,45.168705054289
4,64.5239511287107,-88.2542816051447,42.5755971183486
5,74.3481808775401,-116.015427163553,21.8842689787282
6,92.5939421786119,-116.504942829765,10.0001730606691
7,126.156550456022,-101.059556112817,1.25148671477612
8,131.043389962554,-102.227840844164,-25.4557226139453
9,125.916082157087,-89.6303379598511,-54.4387401599542
10,134.552728666229,-56.3271519896466,-64.0184142989874
11,126.383330380601,-34.6811588777955,-68.4848899513504
12,96.6189650814689,-23.44616779156,-87.9117922130158
13,82.8213282056711,-0.58015003657631,-87.4746414160379
14,72.0608774399317,17.3475853612697,-68.8257584830165
15,43.4078493474169,22.5834609557591,-65.1164995193888
16,23.0167100742535,17.9549602761875,-60.1923007057914
17,13.2737102515734,21.4521544919718,-38.8827244946675
18,3.78055664189813,23.04677389598,-23.9216316685557
19,-0.370258532487775,13.6008802386444,-15.2241163926538
20,-2.67989754449959,6.15873404766558,-4.47643402012117
21,-1.7637037477169,0.120767207353632,1.84973215396347
22,0.970665288225704,-6.66926484084787,6.75319680720968
23,6.16277264416024,-14.8245859549651,7.46697941041453
24,11.3579796510592,-26.4308623102442,6.3176609650541
25,20.9801031999967,-24.1316972793338,7.35150444968881
26,35.946185822952,-22.4998882502738,5.00630383369152
27,33.8949753204409,-30.7645510983184,-3.9046762478796
28,35.0257720671312,-31.1396587209048,-16.1927385223241
29,44.6407118604733,-19.5084495937774,-19.7127410555079
30,43.7344637405442,-15.196659040037,-25.5202997528649
31,31.8280582113068,-10.2565156127293,-36.4319002970787
32,31.5416227910064,1.37971123894064,-34.8938078135179
33,32.398566926393,12.1648546687717,-25.2796821512481
34,19.0862640586706,13.8959050503118,-27.9706419797185
35,8.30038316185611,11.9204949373832,-30.0024413742286
36,2.16214273234422,14.5188519684687,-20.5700240294154
37,-2.4399779980921,15.176059837525,-13.2775332190086
38,-5.82462999683743,10.5507309154795,-8.71532156700275
39,-6.42497451839409,7.39776110247086,-1.29961818715231
40,-4.50769650632152,5.53881879347226,4.75646094449844
41,-3.34269076826581,0.228303837634723,7.94060719805602
42,-2.49511637700251,-6.58561040250631,6.48631540208012
43,0.0544123229120852,-14.4190757461574,5.44767755892234
44,5.22450356388624,-13.5840251279268,5.95074167327356
45,14.7845197931676,-13.3289464984616,4.69638803578346
46,16.7218940292763,-16.6921047688422,1.22388218541625
47,20.5895772589866,-12.3766001704731,-3.07841433006434
48,26.3228174313421,-8.37565887960121,-8.23819670658063
49,20.9868861818113,-8.40607746328008,-14.8109089659639
50,13.5709711029577,-7.72768554867307,-24.9290192779257
51,15.2019445458294,0.705531647203793,-21.7468240282505
52,17.1937014771102,10.0443480365688,-16.721342442271
53,10.2024490941023,13.998489711883,-17.6231148787373
54,4.43429643192651,14.1775218252147,-17.2534358442202
55,-0.748725541825653,16.9728270606222,-11.424426911924
