"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
1,6.9535843822349
2,26.1136555058515
3,-60.3607287297335
4,25.7479447436171
5,-82.1467545323516
6,-139.169664035857
7,70.3919454312271
8,-152.432133571646
9,-186.789623430698
10,-36.729923854093
11,-324.515502348563
12,-151.4393907948
13,-193.096911576555
14,-231.593665806543
15,-152.016461366644
16,-112.252171503495
17,-146.996381381388
18,-70.9223924648254
19,-58.1746284354914
20,-20.7713634604889
21,1.05645790848176
22,20.4412253798858
23,52.7799781807956
24,46.0941197013722
25,54.0409434993563
26,85.0153131031932
27,51.7270156351841
28,49.9234903037228
29,84.7112071719157
30,-35.0210318746562
31,2.46690897342533
32,-22.0669515367669
33,-35.9860447719174
34,-27.2947808223382
35,-31.7227260959715
36,-53.3637721614213
37,-28.0430372888597
38,-23.777420571796
39,-8.1597176893319
40,2.27942891433137
41,11.0024304243106
42,24.4374689860028
43,30.1009286685961
44,35.0339574009725
45,57.6736404232374
46,51.8181369456647
47,60.7155961676496
48,78.0002520549547
49,28.3934626741227
50,50.7733853169085
51,27.4324622315365
52,20.1568507048416
53,27.0719392732002
54,18.8116911878976
55,17.7210214387189
56,16.3252808320725
57,19.3510719555372
58,12.5849095234458
59,18.7769083044553
60,16.3974131458621
61,23.3833482762459
62,34.9290041200842
63,33.0933226911187
64,53.7100466475348
65,52.4770123931438
66,46.7724931571734
67,66.7926922646235
68,31.5422929039383
69,51.8025527052012
70,40.4241267899506
71,41.3202696679552
72.0000000000001,56.9255465545228
73.0000000000001,42.2701156555948
74.0000000000001,46.1741310041272
75.0000000000001,34.3552814466465
76.0000000000001,34.0388405732435
77.0000000000001,24.4478540716679
78.0000000000001,28.9751630212331
79.0000000000001,35.967989017013
80.0000000000001,33.6931221904629
