"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
1,6.9535843822349
2,26.1136555058515
3,-60.3607287297335
4,25.7479447436171
5,-82.1467545323516
6,-139.169664035857
7,70.3919454312271
8,-152.432133571646
9,-186.789623430698
10,-36.729923854093
11,-324.515502348563
12,-151.4393907948
13,-193.096911576555
14,-231.593665806543
15,-152.016461366644
16,-112.252171503495
17,-146.996381381388
18,-70.9223924648254
19,-58.1746284354914
20,-20.7713634604889
21,1.05645790848176
22,20.4412253798858
23,52.7799781807956
24,46.0941197013722
25,54.0409434993563
26,85.0153131031932
27,51.7270156351841
28,49.9234903037228
29,84.7112071719157
30,-35.0210318746562
31,2.46690897342533
32,-22.0669515367669
33,-35.9860447719174
34,-27.2947808223382
35,-31.7227260959715
36,-53.3637721614213
37,-28.0430372888597
38,-23.777420571796
39,-8.1597176893319
40,2.27942891433137
41,11.0024304243106
42,24.4374689860028
43,30.1009286685961
44,35.0339574009725
45,57.6736404232374
46,51.8181369456647
47,60.7155961676496
48,78.0002520549547
49,28.3934626741227
50,50.7733853169085
51,27.4324622315365
52,20.1568507048416
53,27.0719392732002
54,18.8116911878976
55,17.7210214387189
56,16.3252808320725
57,19.3510719555372
58,12.5849095234458
59,18.7769083044553
60,16.3974131458621
61,23.3833482762459
62,34.9290041200842
63,33.0933226911187
64,53.7100466475348
65,52.4770123931438
66,46.7724931571734
67,66.7926922646235
68,31.5422929039383
69,51.8025527052012
70,40.4241267899506
71,41.3202696679552
72.0000000000001,56.9255465545228
73.0000000000001,42.2701156555948
74.0000000000001,46.1741310041272
75.0000000000001,34.3552814466465
76.0000000000001,34.0388405732435
77.0000000000001,24.4478540716679
78.0000000000001,28.9751630212331
79.0000000000001,35.967989017013
80.0000000000001,33.6931221904629
81.0000000000001,53.1164397310584
82.0000000000001,37.816221650143
83.0000000000001,47.6797857953177
84.0000000000001,47.4469213957883
85.0000000000001,35.2190607338181
86.0000000000001,57.115720060021
87.0000000000001,34.6447456625953
88.0000000000001,54.7775547228771
89.0000000000001,58.6580144068307
90.0000000000001,46.0071994390333
91.0000000000001,63.2042675131171
92.0000000000001,46.6519740988974
93.0000000000001,47.5379661581941
94.0000000000001,38.5446582946726
95.0000000000001,38.3763257159086
96.0000000000001,42.3164995338982
97.0000000000001,39.0528895186637
98.0000000000001,58.9066704799259
99.0000000000001,39.6081712643012
100,56.1202321720859
101,33.6195806179081
102,38.9048498400823
103,43.3447647460546
104,33.2034175616134
105,58.6630536709974
106,51.8965570772597
107,49.5695767348749
108,66.7695494797972
109,40.3518330217196
110,55.6230111263053
111,41.8408482863042
112,44.9100662057275
113,47.79933920999
114,42.6068861681046
115,60.2673968504828
116,44.1968579555468
117,60.7749719647349
118,35.2331568439263
119,48.8150442426794
120,32.9051723470648
121,34.3119454095178
122,53.2055334641225
123,42.8848912490955
124,55.6349977843275
125,64.7185359824547
126,40.5566867045402
127,60.692136145812
128,32.7388690607709
129,49.8844351496357
130,44.3841762339382
131,45.0223658751272
132,63.6541409443075
133,49.0720294738339
134,60.1493473231315
135,41.5540096080143
136,53.0214683002154
137,33.5210313510429
138,42.8407545102144
