"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
1,3.82912646849263,-19.9289321850633,16.4646706864455
2,10.8614041294812,-57.0702062952783,28.2695162581039
3,30.6963428903639,-74.4716931024379,45.1687050542965
4,64.5239511287162,-88.2542816051352,42.575597118348
5,74.3481808775405,-116.015427163563,21.8842689787385
6,92.5939421785988,-116.504942829795,10.000173060674
7,126.156550456015,-101.059556112804,1.25148671478098
8,131.04338996254,-102.22784084415,-25.4557226139432
9,125.916082157085,-89.6303379598482,-54.4387401599638
10,134.552728666208,-56.3271519896425,-64.0184142989682
11,126.383330380623,-34.6811588777892,-68.484889951355
12,96.6189650814536,-23.4461677915536,-87.9117922129907
13,82.8213282056618,-0.580150036575827,-87.4746414160308
14,72.0608774399527,17.3475853612778,-68.8257584830485
15,43.4078493474215,22.5834609557652,-65.1164995194102
16,23.0167100742583,17.9549602762174,-60.1923007058016
17,13.2737102515691,21.4521544919629,-38.8827244946806
18,3.7805566418942,23.0467738959487,-23.921631668562
19,-0.370258532469837,13.6008802386554,-15.2241163926482
20,-2.67989754451992,6.15873404766073,-4.47643402012175
21,-1.76370374770236,0.120767207331951,1.84973215396595
22,0.970665288240203,-6.66926484084713,6.75319680719502
23,6.16277264416728,-14.8245859549798,7.46697941038214
24,11.357979651063,-26.4308623102257,6.31766096506871
25,20.9801031999973,-24.1316972793584,7.35150444970779
26,35.9461858222409,-22.4998882504952,5.00630383399425
27,33.8949753205361,-30.7645510983261,-3.90467624805114
28,35.0257720672245,-31.139658720886,-16.1927385223678
29,44.6407118605029,-19.508449593732,-19.7127410555424
30,43.7344637405786,-15.196659039991,-25.5202997528794
31,31.8280582112979,-10.2565156127179,-36.4319002970922
32,31.5416227910262,1.37971123896751,-34.8938078135152
33,32.3985669263952,12.1648546687924,-25.2796821511887
34,19.0862640586878,13.8959050503407,-27.9706419797299
35,8.30038316187905,11.9204949374015,-30.0024413742087
36,2.16214273236446,14.5188519684587,-20.5700240294049
37,-2.43997799806462,15.1760598375025,-13.2775332189924
38,-5.82462999683647,10.5507309154864,-8.71532156699303
39,-6.42497451836596,7.39776110244917,-1.29961818715313
40,-4.50769650627507,5.53881879348533,4.75646094451074
41,-3.34269076826639,0.228303837632494,7.94060719807628
42,-2.49511637697337,-6.58561040251945,6.48631540206219
43,0.054412322941475,-14.4190757461715,5.44767755893508
44,5.22450356389475,-13.5840251279539,5.95074167329543
45,14.7845197931896,-13.3289464984962,4.69638803579518
46,16.7218940293034,-16.6921047688338,1.22388218539133
47,20.5895772590141,-12.3766001704435,-3.07841433008407
48,26.3228174313563,-8.37565887960719,-8.23819670658985
49,20.9868861818122,-8.40607746328393,-14.8109089659729
50,13.5709711029655,-7.72768554869071,-24.9290192779245
51,15.2019445458512,0.705531647203899,-21.7468240282542
52,17.1937014771184,10.0443480365763,-16.7213424422864
53,10.2024490941103,13.9984897118982,-17.6231148787311
54,4.43429643190641,14.1775218252163,-17.2534358442318
55,-0.748725541812077,16.972827060638,-11.4244269119268
56,-6.73465751288604,14.310716888594,-8.58055336407879
57,-13.0996442028548,8.68345538967163,-7.22394954673639
58,-13.0982245045249,6.95055581656525,-0.837968070935649
59,-8.5276134933866,7.1026465798024,7.14936750563582
60,-6.25436740465498,3.91423792494017,12.4576318501331
61,-5.82588493925313,-2.24296194294679,10.7664753978734
62,-3.70098111149182,-9.78143654051408,9.91249705495091
63,-0.716390462284528,-12.1019234581168,9.82711986503376
64,3.88890726718373,-15.3055844498052,5.60236728422138
65,8.77267105426069,-18.1144354989152,3.09023044400662
66,14.6157602924627,-11.9034080430977,1.80883326690217
67,22.9182340056543,-7.02551286995356,-0.5546898369669
68,18.0145057366845,-6.92612497353614,-7.06736134782902
69,12.912510744743,-6.63048330797579,-16.9819924338931
70,12.8044033942163,-1.74492295058876,-18.1800469418704
71,11.2688921047593,4.04821914582556,-17.280817508072
72.0000000000001,6.46330426962938,10.0081813311414,-18.9224486734744
73.0000000000001,4.08710409060658,13.5994736003388,-15.0734181528386
74.0000000000001,1.90001424647079,20.3281549055784,-8.16007493691812
75.0000000000001,-4.95602341722774,17.5266290582259,-6.73577041872698
76.0000000000001,-13.5294050583796,10.9470003725248,-7.0030775252915
77.0000000000001,-16.6193734095439,8.16619370483098,-2.82494659154021
78.0000000000001,-13.3026245079948,7.61273415875301,4.22145371112527
79.0000000000001,-11.783009701912,5.02047626915638,11.1768345335119
80.0000000000001,-10.3450423891215,1.12349527930649,12.7011018191896
81.0000000000001,-5.54305338075598,-3.3709811458643,15.6460375200471
82.0000000000001,-2.99594929169193,-8.46862790986221,16.1244783639544
83.0000000000001,-1.40203113075318,-14.3665714908409,9.52399142050765
84.0000000000001,1.75314321649763,-20.7832283924317,5.16083860016746
85.0000000000001,8.4598884726498,-14.6305166567286,4.51956261339317
86.0000000000001,17.8478822098221,-10.1076368547685,3.12833601678574
87.0000000000001,17.1150218474744,-9.31199840091961,-1.33729818133251
88.0000000000001,15.8827291718846,-6.82746651103899,-8.52876093260818
89.0000000000001,16.5240974168602,-3.16631970113086,-13.2910854823134
90.0000000000001,11.9233681502307,-0.415448479992372,-16.0171909513163
91.0000000000001,5.91488876946407,3.49374671478178,-21.8484076266133
92.0000000000001,4.64535610378221,9.62205016773187,-17.4731855879849
93.0000000000001,4.26910697837171,18.4224201650185,-10.1506767930006
94.0000000000001,-0.880716449473046,19.0799205009874,-7.70589538713338
95.0000000000001,-8.93234073893617,14.475641908305,-7.3778423070191
96.0000000000001,-14.5442138170828,12.651871272845,-4.16555710879837
